,Y_variable_1,Y_variable_2,Y_variable_3,Y_variable_4,Y_variable_5,Y_variable_6,Y_variable_7,Y_variable_8,Y_variable_9,Y_variable_10
X36_sample_6115,63.55967316,47.26150252,12.83888594,16.80814538,56.51670236,66.75974089,0,0,0,60.21876975
X37_sample_31433,0,0,1.868317141,16.54240408,0,0,2.237706521,0,14.1398539,9.865281141
X38_sample_63088,0,116.5875566,20.86535214,61.26661518,32.12292901,0,246.1478771,17.94503042,840.288841,106.3328451
X39_sample_44970,0,0,5.539666449,10.68630103,0,0,0,0,172.420414,4.199557635
X41_sample_68093,0,0,1.660233132,4.947191014,4.824320728,12.64776187,0,9.434232954,109.297929,31.11144
X42_sample_46969,11.61228861,10.00054539,2.185444567,2.961604504,0,3.828523913,11.10385068,0,45.044872,12.28578255
X43_sample_81427,0,13.80313637,1.986366771,1.308250658,1.19013901,1.075744517,25.37884224,4.034607566,0,6.24447751
X44_sample_41979,0,272.3852488,31.75112847,110.807992,182.8214314,66.98874203,0,0,22.12316307,77.73587391
X46_sample_35776,4.385223203,0,1.365159998,3.856504425,0,16.06176494,0,8.498078477,78.35162236,7.717066472
X47_sample_74037,0,20.32415664,1.301321921,4.841931068,6.849973153,6.504373399,36.27140035,7.85070442,132.8183134,10.04397105
X48_sample_24059,40.94244476,0,16.55560243,22.09547828,52.51523461,0,0,25.98458177,62.18455765,47.75435289
X49_sample_35644,1,0,325.3836291,90.07015629,524.4523582,0,0,309.3885741,1743.689484,418.3843409
X51_sample_66742,0,0,12.02037625,4.928291903,13.22671971,23.50963526,0,6.746166061,546.045393,37.58546786
X52_sample_26783,0,0,1.700576439,2.72740773,4.809670596,0,0,0,9.048120064,8.602601636
X53_sample_59605,0,0,1.703921158,4.08551727,2.964559109,2.636322902,0,3.110621764,133.4231855,6.706189822
X54_sample_26363,0,0,66.57108906,12.55022444,172.7697061,38.19107259,460.5841947,0,0,254.0075011
X56_sample_105320,0,1.448871272,1.000573654,1.354465062,8.696386267,9.20194301,0,4.27331047,0,9.562705204
X57_sample_80224,0,0,91.64237314,26.92788327,172.4170754,58.59352726,186.0161333,75.66358472,986.7709184,81.60810611
X58_sample_60050,0,0,0,1,17.58376224,0,4.424553255,4.646229836,0,9.658102758
X59_sample_44059,0,0,4.3105762,3.259806017,7.265277378,4.804283182,10.08375805,0,120.6176676,6.534459816
X61_sample_85303,1,171.2851196,0,9.508992737,19.48230954,46.90865213,184.6169373,0,62.63925836,53.88670732
X62_sample_107459,0,0,0,6.220281904,10.59688611,115.8770511,226.9749914,0,389.8317846,0
X63_sample_79428,0,96.0726901,0,81.88676832,0,124.5378112,0,0,561.3519486,114.2248342
X64_sample_102682,0,0,0,2.54254516,18.28666695,0,70.31873514,15.74101589,408.0517543,27.00183082
X66_sample_73599,0,0,12.31946198,11.55876256,22.83028319,0,38.96851357,0,113.4022478,10.53321745
X67_sample_22777,0,27.24256545,15.67709584,15.93636453,15.87463363,28.5378322,86.50999412,0,215.3387915,12.79287346
X68_sample_1587,0,0,28.65795558,10.83535689,53.9181218,17.79300623,218.165555,20.25752745,220.1766365,21.7230013
X69_sample_68869,0,0,24.04197328,50.99979515,32.04839538,0,104.8665642,55.94401651,549.0536663,1
X71_sample_10915,0,104.9741353,56.23831275,1,89.21300199,0,152.6372727,0,2192.094565,159.9250566
X72_sample_99476,0,0,0,1.123729453,3.081304604,2.46878532,7.359753608,0,28.60587105,2.081021748
X73_sample_14240,62.27449541,0,8.200114771,23.50683452,0,11.76895451,0,6.524242796,32.59692375,10.90448949
X74_sample_68158,81.31979549,165.6337477,14.63929363,63.45992627,55.531197,18.63810983,139.3906996,40.25663205,194.4857311,100.6891805
X76_sample_44297,12.12340184,0,4.354195687,8.627355934,3.415144944,9.172551444,32.44506971,11.58720872,79.34747613,0
X77_sample_102649,0,0,3.275903462,9.110566693,7.297861938,0,0,0,15.33253306,4.33667052
X78_sample_43569,0,0,11.88375519,13.36596877,23.08102229,0,0,0,101.800954,35.62724712
X79_sample_110133,16.83244933,0,3.104265803,19.93519272,18.44369863,8.417484683,0,7.977413075,75.16087239,6.016744649
X81_sample_82261,0,22.89318028,0,22.82211564,9.293048645,10.61603822,0,7.595894431,225.3749257,9.294813958
X82_sample_91768,0,0,8.244553412,8.408829995,2.122983926,0,55.26854352,11.0800209,94.54937452,2.256665071
X83_sample_75524,0,0,3.454583604,2.517314012,6.054955457,2.333321896,16.77559729,1.314224219,129.935983,15.57574115
X84_sample_41343,0,0,0,2.930553817,4.08230373,0,25.32175268,0,89.70248245,6.679390842
X86_sample_10078,19.73997686,13.56566232,1.732657401,5.288791236,1.134327085,0,39.85862796,4.028979826,8.128719102,13.38945011
X87_sample_66518,23.78594101,0,1,26.06110953,22.10391561,14.90537175,27.26434103,11.13746053,149.3716458,7.858370544
X88_sample_90107,0,319.858496,114.3677427,76.10319523,112.6697453,0,552.0240903,102.9205823,0,255.7609646
X89_sample_27336,0,43.22811317,8.538991533,15.0769457,13.88148322,6.865888054,34.05065172,0,0,9.755357864
X91_sample_111469,6.98228223,0,1,0,4.623817557,2.177081944,25.90237228,4.59009871,54.36632307,3.798896578
X92_sample_89994,0,0,0,17.47353071,31.00227401,3.327259523,0,10.03626879,262.2109806,41.48051186
X93_sample_91108,0,0,4.229741182,7.389767859,3.806237247,8.686294309,1.503806718,7.081764533,13.2720332,14.79981225
X94_sample_48921,0,0,2.797678416,11.53850763,9.536981152,0,29.6022606,0,171.0679003,1
X96_sample_3918,22.21017188,29.04711388,0,6.50859152,8.596220838,0,18.82624141,10.31073211,194.3252327,8.781372731
X97_sample_111304,45.51800256,0,12.59752261,14.13829329,15.89485559,9.374142851,59.62979238,7.871498702,128.1538562,16.16468916
X98_sample_45723,25.56764727,0,14.30348824,1,59.67378979,4.019790621,161.8071027,0,498.980577,5.835380627
X99_sample_19738,5.126736007,11.63139145,3.414942494,1,1.792450471,0,4.707936473,3.402605383,39.09813813,1.854190352
X101_sample_18558,0,0,6.190794269,1,13.61006243,0,0,5.02980952,113.0969345,16.5154644
X102_sample_85913,0,0,0,144.0785003,188.9238267,21.58921141,509.3641408,0,756.4387208,51.53275024
X103_sample_21652,0,524.9147228,244.0253786,90.50831331,674.1062817,195.5462299,2026.531269,182.8763492,0,1
X104_sample_59941,0,0,11.73657982,0,0,37.61603954,178.0005965,0,105.0855497,94.64114173
X106_sample_36849,0,0,1.658377055,1.997030492,4.951175125,7.414008361,13.21453974,3.906695629,5.257086789,2.130085194
X107_sample_20031,0,10.37327808,1.349075498,3.179175504,1.475351532,0,0,0,29.49640955,4.260491701
X108_sample_50189,9.542057345,15.39599037,2.880575367,2.914323694,8.343478328,9.462933196,2.322214118,3.652262463,0,10.99754811
X109_sample_43370,0,82.87937143,53.00244911,6.500135159,92.28258429,58.52781121,245.3296046,0,1089.759528,39.75218249
